"","Planning Area","Subzone","Planning Region","Total","young","old","Economically Active","% Young","% Old","% Economically Active","Year"
"1","Ang Mo Kio","Ang Mo Kio Town Centre","North East Region",4940,1350,720,2870,27.3278799030771,14.5748692816411,58.0970483865417,2017
"2","Ang Mo Kio","Cheng San","North East Region",28350,6080,5130,17140,21.4462005480774,18.0952317124403,60.4585324661261,2017
"3","Ang Mo Kio","Chong Boon","North East Region",26740,5500,5540,15720,20.5530565945229,20.7025333697558,58.7443726665274,2017
"4","Ang Mo Kio","Kebun Bahru","North East Region",22620,4870,4610,13140,21.5296102875286,20.3801855083176,58.0901599955084,2017
"5","Ang Mo Kio","Sembawang Hills","North East Region",6800,2000,1180,3630,29.3685324984838,17.3274341741055,53.3038864847482,2017
"6","Ang Mo Kio","Shangri-La","North East Region",16800,3800,3240,9780,22.5921387680507,19.2627709496011,58.1450308293515,2017
"7","Ang Mo Kio","Tagore","North East Region",8130,2230,1210,4680,27.4630203657385,14.9014594809612,57.6353970007426,2017
"8","Ang Mo Kio","Townsville","North East Region",22690,4910,4660,13140,21.6204220077402,20.5195858566333,57.8599481021805,2017
"9","Ang Mo Kio","Yio Chu Kang","North East Region",40,0,0,0,0,0,0,2017
"10","Ang Mo Kio","Yio Chu Kang East","North East Region",4030,1100,640,2300,27.2276553770906,15.8415449466709,56.9305521520986,2017
"11","Ang Mo Kio","Yio Chu Kang North","North East Region",0,0,0,0,0,0,0,2017
"12","Ang Mo Kio","Yio Chu Kang West","North East Region",25690,6470,4060,15160,25.1848870436407,15.8038085621609,59.0112654685615,2017
"13","Bedok","Bayshore","East Region",7310,2100,780,4440,28.688485398244,10.6557231479192,60.6556548420016,2017
"14","Bedok","Bedok North","East Region",83810,20080,14510,49230,23.956093539001,17.3109022535311,58.7329922771424,2017
"15","Bedok","Bedok Reservoir","East Region",26190,7370,2970,15850,28.140500900916,11.340201855593,60.5192590609931,2017
"16","Bedok","Bedok South","East Region",48990,11830,9170,27990,24.147780333174,18.7181019150639,57.1340973394372,2017
"17","Bedok","Frankel","East Region",33900,9320,5240,19340,27.492617258815,15.4572225789904,57.0501306636783,2017
"18","Bedok","Kaki Bukit","East Region",39430,10070,5490,23890,25.5259757855575,13.916346282295,60.5576525836115,2017
"19","Bedok","Kembangan","East Region",38690,8960,6800,22940,23.1524487978168,17.5710548912003,59.2764704711963,2017
"20","Bedok","Siglap","East Region",6620,1460,1550,3620,22.0210829244601,23.3785469403515,54.6002193058532,2017
"21","Bishan","Bishan East","Central Region",28970,6780,4590,17600,23.4035128051388,15.8439710583462,60.7524816180595,2017
"22","Bishan","Marymount","Central Region",30680,8720,3720,18230,28.4316829371754,12.1291124456758,59.4391720120078,2017
"23","Bishan","Upper Thomson","Central Region",30630,7670,5440,17540,25.0244616559668,17.7487707181825,57.2267349994339,2017
"24","Boon Lay","Liu Fang",NA,10,0,0,0,0,0,0,2017
"25","Boon Lay","Samulun",NA,20,0,0,0,0,0,0,2017
"26","Boon Lay","Shipyard",NA,10,0,0,0,0,0,0,2017
"27","Boon Lay","Tukang",NA,10,0,0,0,0,0,0,2017
"28","Bukit Batok","Brickworks","West Region",0,0,0,0,0,0,0,2017
"29","Bukit Batok","Bukit Batok Central","West Region",25120,6390,3310,15420,25.4378879626242,13.1767463468366,61.3853258816378,2017
"30","Bukit Batok","Bukit Batok East","West Region",13820,3250,1850,8740,23.4826419923107,13.3670423648538,63.1502433885525,2017
