Serial No,Month,Ward,Ward No,Measure 1,Measure 2,Measure 3,Measure 4,Measure 5,Measure 6,Measure 7,Measure 8
109,Oct,2,C,4,5,4,4,4,3,3,0
123,Oct,2,C,4,4,3,3,3,4,3,0
108,Oct,2,C,3,3,3,4,3,3,3,0
97,Oct,2,C,3,4,3,4,3,4,4,0
96,Oct,2,C,4,4,4,5,4,4,4,0
101,Oct,2,C,3,3,3,4,3,3,3,0
116,Oct,2,C,3,3,3,5,3,3,3,0
140,Oct,2,B2,4,3,3,5,3,3,3,0
124,Oct,2,B2,3,3,3,3,3,2,3,0
50,Oct,2,B2,4,4,4,5,4,4,4,0
138,Oct,2,B2,3,3,3,4,3,3,3,0
104,Oct,2,B2,3,4,3,5,5,3,4,0
94,Oct,2,B2,3,3,3,4,3,2,3,0
93,Oct,2,B2,3,3,3,3,3,3,3,0
122,Oct,2,B2,3,3,3,3,3,2,3,0
92,Oct,2,B2,3,4,3,5,4,3,3,0
99,Oct,2,C,4,4,4,4,4,4,4,0
98,Oct,2,C,4,4,4,4,4,3,3,0
16,Oct,2,C,4,4,4,5,2,4,5,0
15,Oct,2,C,3,3,3,4,3,3,3,0
145,Oct,2,C,3,4,4,4,3,4,3,0
139,Oct,2,C,4,4,4,5,4,3,3,0
148,Oct,2,B2,3,4,3,4,3,2,2,0
121,Oct,2,B2,4,3,4,4,4,4,4,0
4,Oct,2,B2,2,3,2,5,4,4,4,0
9,Oct,2,B2,2,3,3,4,4,3,2,0
7,Oct,2,B2,3,2,3,4,3,3,3,0
14,Oct,2,B2,4,4,4,4,4,3,3,0
51,Oct,2,B2,3,4,3,5,4,3,3,0
6,Oct,2,B2,2,3,3,4,4,2,3,0
47,Oct,2,C,4,5,5,5,3,4,4,0
103,Oct,2,B2,3,3,3,5,3,3,3,0
119,Oct,2,B2,3,3,3,3,3,4,3,0
146,Oct,2,B2,3,3,3,2,3,2,2,0
125,Oct,2,B2,4,5,5,4,4,2,4,0
100,Oct,2,C,3,3,3,4,3,3,3,0
127,Oct,2,C,3,4,4,3,4,3,3,0
13,Oct,2,B2,4,4,4,4,4,4,4,0
150,Oct,2,B2,4,4,3,4,5,3,3,0
91,Oct,2,B2,3,3,3,4,3,3,3,0
149,Oct,2,B2,2,4,3,4,3,4,3,0
126,Oct,2,B2,3,3,4,5,2,1,2,0
44,Oct,2,C,4,4,4,5,2,4,2,0
147,Oct,2,C,4,4,4,3,5,2,5,0
49,Oct,2,C,4,4,4,5,3,2,3,0
43,Oct,2,B2,4,4,4,5,4,4,3,0
120,Oct,2,B2,3,4,4,4,4,3,3,0
8,Oct,2,B2,3,3,3,3,4,3,3,0
23,Oct,2,B2,3,4,3,2,3,2,3,0
19,Oct,2,B2,3,3,3,4,4,2,3,0
2,Nov,1,A,5,5,5,5,5,4,4,5
27,Nov,1,A,5,5,5,5,5,5,4,4
9,Nov,1,A,4,4,4,5,4,5,4,4
1,Nov,1,A,5,5,5,5,4,5,5,5
3,Nov,1,A,5,5,5,5,5,4,5,5
4,Nov,1,B1,5,5,5,5,5,4,5,5
20,Nov,1,B1,3,4,4,3,4,4,4,4
19,Nov,1,B1,3,5,5,5,3,3,3,4
18,Nov,1,B1,4,4,4,4,4,4,5,4
32,Nov,1,B1,4,4,3,4,4,2,3,4
17,Nov,1,B1,3,4,3,4,3,4,4,4
31,Nov,1,B1,3,3,4,5,4,3,3,4
37,Nov,1,B1,5,4,4,4,4,4,3,3
46,Nov,1,A,4,4,5,4,4,3,3,3
50,Nov,1,A,3,3,3,4,3,2,3,2
40,Nov,1,A,3,4,3,3,3,4,3,3
39,Nov,1,A,3,3,3,3,3,2,3,3
14,Nov,1,A,3,3,3,4,4,3,4,4
8,Nov,1,A,4,5,5,5,5,4,4,4
43,Nov,1,A,2,3,3,5,4,3,3,3
28,Nov,1,A,3,3,3,5,4,3,3,4
11,Nov,1,A,4,4,4,5,4,4,4,4
25,Nov,1,A,4,4,4,4,4,4,4,4
34,Nov,1,A,3,4,3,4,3,2,3,3
35,Nov,1,A,3,4,4,4,3,2,2,3
48,Nov,1,A,4,4,4,4,4,3,2,3
29,Nov,1,A,4,4,4,4,4,4,3,4
45,Nov,1,B1,3,3,3,4,3,3,3,3
