month,category,number_of_tankers,gross_tonnage
2002-01,Oil Tankers,1101,22910.82
2002-01,Chemical Tankers,177,1316.57
2002-01,LNG & LPG Tankers,106,1978.46
2002-02,Oil Tankers,964,17961.56
2002-02,Chemical Tankers,164,1294.3
2002-02,LNG & LPG Tankers,107,2597.96
2002-03,Oil Tankers,1125,24133.67
2002-03,Chemical Tankers,181,1191.58
2002-03,LNG & LPG Tankers,146,3070.9
2002-04,Oil Tankers,1122,24720.69
2002-04,Chemical Tankers,181,1241.45
2002-04,LNG & LPG Tankers,136,3252.19
2002-05,Oil Tankers,1151,22073.08
2002-05,Chemical Tankers,202,1360.38
2002-05,LNG & LPG Tankers,121,2300.38
2002-06,Oil Tankers,1108,20723.53
2002-06,Chemical Tankers,209,1424.37
2002-06,LNG & LPG Tankers,118,2650.92
2002-07,Oil Tankers,1122,23911.41
2002-07,Chemical Tankers,193,1300.36
2002-07,LNG & LPG Tankers,112,2253.14
2002-08,Oil Tankers,1051,21434.73
2002-08,Chemical Tankers,231,1624.74
2002-08,LNG & LPG Tankers,106,2053.9
2002-09,Oil Tankers,1032,19440.35
2002-09,Chemical Tankers,186,1269.23
2002-09,LNG & LPG Tankers,127,3018.92
2002-10,Oil Tankers,1125,22499.13
2002-10,Chemical Tankers,211,1424.56
2002-10,LNG & LPG Tankers,116,2799.33
2002-11,Oil Tankers,1123,21821.93
2002-11,Chemical Tankers,191,1316.93
2002-11,LNG & LPG Tankers,130,3234.83
2002-12,Oil Tankers,1125,22774.04
2002-12,Chemical Tankers,202,1564.48
2002-12,LNG & LPG Tankers,118,3405.78
2003-01,Oil Tankers,1101,23146.94
2003-01,Chemical Tankers,206,1479.25
2003-01,LNG & LPG Tankers,124,3093.41
2003-02,Oil Tankers,979,21149.72
2003-02,Chemical Tankers,196,1293.87
2003-02,LNG & LPG Tankers,120,3660.03
2003-03,Oil Tankers,1051,22036.37
2003-03,Chemical Tankers,230,1560.94
2003-03,LNG & LPG Tankers,136,4009.63
2003-04,Oil Tankers,1119,21984.54
2003-04,Chemical Tankers,226,1539.95
2003-04,LNG & LPG Tankers,113,2961.28
2003-05,Oil Tankers,1017,20057.63
2003-05,Chemical Tankers,259,1909.7
2003-05,LNG & LPG Tankers,107,2273.12
2003-06,Oil Tankers,1105,22200.56
2003-06,Chemical Tankers,218,1523.46
2003-06,LNG & LPG Tankers,119,2297.52
2003-07,Oil Tankers,1162,22201.2
2003-07,Chemical Tankers,234,1650.33
2003-07,LNG & LPG Tankers,114,2310.29
2003-08,Oil Tankers,1128,21863.23
2003-08,Chemical Tankers,249,1763.44
2003-08,LNG & LPG Tankers,117,2447.79
2003-09,Oil Tankers,1051,20162.81
2003-09,Chemical Tankers,243,1803.75
2003-09,LNG & LPG Tankers,117,2875.15
2003-10,Oil Tankers,1048,21567.24
2003-10,Chemical Tankers,243,1725.25
2003-10,LNG & LPG Tankers,100,2440.24
