month,level_1,level_2,level_3,value
1961-01,Number Of Air Passenger Arrivals,South East Asia,Malaysia,na
1961-01,Number Of Air Passenger Arrivals,South East Asia,Indonesia,1687
1961-01,Number Of Air Passenger Arrivals,South East Asia,Thailand,1172
1961-01,Number Of Air Passenger Arrivals,South East Asia,Philippines,139
1961-01,Number Of Air Passenger Arrivals,South East Asia,Vietnam,na
1961-01,Number Of Air Passenger Arrivals,North East Asia,China,na
1961-01,Number Of Air Passenger Arrivals,North East Asia,Hong Kong,941
1961-01,Number Of Air Passenger Arrivals,North East Asia,Japan,104
1961-01,Number Of Air Passenger Arrivals,Europe,United Kingdom,858
1961-01,Number Of Air Passenger Arrivals,Europe,France,na
1961-01,Number Of Air Passenger Arrivals,Europe,Germany,na
1961-02,Number Of Air Passenger Arrivals,South East Asia,Malaysia,na
1961-02,Number Of Air Passenger Arrivals,South East Asia,Indonesia,1671
1961-02,Number Of Air Passenger Arrivals,South East Asia,Thailand,1172
1961-02,Number Of Air Passenger Arrivals,South East Asia,Philippines,139
1961-02,Number Of Air Passenger Arrivals,South East Asia,Vietnam,na
1961-02,Number Of Air Passenger Arrivals,North East Asia,China,na
1961-02,Number Of Air Passenger Arrivals,North East Asia,Hong Kong,991
1961-02,Number Of Air Passenger Arrivals,North East Asia,Japan,127
1961-02,Number Of Air Passenger Arrivals,Europe,United Kingdom,427
1961-02,Number Of Air Passenger Arrivals,Europe,France,na
1961-02,Number Of Air Passenger Arrivals,Europe,Germany,na
1961-03,Number Of Air Passenger Arrivals,South East Asia,Malaysia,na
1961-03,Number Of Air Passenger Arrivals,South East Asia,Indonesia,1960
1961-03,Number Of Air Passenger Arrivals,South East Asia,Thailand,1414
1961-03,Number Of Air Passenger Arrivals,South East Asia,Philippines,307
1961-03,Number Of Air Passenger Arrivals,South East Asia,Vietnam,na
1961-03,Number Of Air Passenger Arrivals,North East Asia,China,na
1961-03,Number Of Air Passenger Arrivals,North East Asia,Hong Kong,1074
1961-03,Number Of Air Passenger Arrivals,North East Asia,Japan,150
1961-03,Number Of Air Passenger Arrivals,Europe,United Kingdom,425
1961-03,Number Of Air Passenger Arrivals,Europe,France,na
1961-03,Number Of Air Passenger Arrivals,Europe,Germany,na
1961-04,Number Of Air Passenger Arrivals,South East Asia,Malaysia,na
1961-04,Number Of Air Passenger Arrivals,South East Asia,Indonesia,2107
1961-04,Number Of Air Passenger Arrivals,South East Asia,Thailand,1393
1961-04,Number Of Air Passenger Arrivals,South East Asia,Philippines,439
1961-04,Number Of Air Passenger Arrivals,South East Asia,Vietnam,na
1961-04,Number Of Air Passenger Arrivals,North East Asia,China,na
1961-04,Number Of Air Passenger Arrivals,North East Asia,Hong Kong,1222
1961-04,Number Of Air Passenger Arrivals,North East Asia,Japan,110
1961-04,Number Of Air Passenger Arrivals,Europe,United Kingdom,390
1961-04,Number Of Air Passenger Arrivals,Europe,France,na
1961-04,Number Of Air Passenger Arrivals,Europe,Germany,na
1961-05,Number Of Air Passenger Arrivals,South East Asia,Malaysia,na
1961-05,Number Of Air Passenger Arrivals,South East Asia,Indonesia,1707
1961-05,Number Of Air Passenger Arrivals,South East Asia,Thailand,1325
1961-05,Number Of Air Passenger Arrivals,South East Asia,Philippines,390
1961-05,Number Of Air Passenger Arrivals,South East Asia,Vietnam,na
1961-05,Number Of Air Passenger Arrivals,North East Asia,China,na
1961-05,Number Of Air Passenger Arrivals,North East Asia,Hong Kong,1361
1961-05,Number Of Air Passenger Arrivals,North East Asia,Japan,127
1961-05,Number Of Air Passenger Arrivals,Europe,United Kingdom,399
1961-05,Number Of Air Passenger Arrivals,Europe,France,na
1961-05,Number Of Air Passenger Arrivals,Europe,Germany,na
1961-06,Number Of Air Passenger Arrivals,South East Asia,Malaysia,na
1961-06,Number Of Air Passenger Arrivals,South East Asia,Indonesia,1767
1961-06,Number Of Air Passenger Arrivals,South East Asia,Thailand,1065
1961-06,Number Of Air Passenger Arrivals,South East Asia,Philippines,197
1961-06,Number Of Air Passenger Arrivals,South East Asia,Vietnam,na
1961-06,Number Of Air Passenger Arrivals,North East Asia,China,na
1961-06,Number Of Air Passenger Arrivals,North East Asia,Hong Kong,1240
1961-06,Number Of Air Passenger Arrivals,North East Asia,Japan,154
1961-06,Number Of Air Passenger Arrivals,Europe,United Kingdom,720
1961-06,Number Of Air Passenger Arrivals,Europe,France,na
1961-06,Number Of Air Passenger Arrivals,Europe,Germany,na
1961-07,Number Of Air Passenger Arrivals,South East Asia,Malaysia,na
1961-07,Number Of Air Passenger Arrivals,South East Asia,Indonesia,2098
1961-07,Number Of Air Passenger Arrivals,South East Asia,Thailand,1337
1961-07,Number Of Air Passenger Arrivals,South East Asia,Philippines,249
1961-07,Number Of Air Passenger Arrivals,South East Asia,Vietnam,na
1961-07,Number Of Air Passenger Arrivals,North East Asia,China,na
1961-07,Number Of Air Passenger Arrivals,North East Asia,Hong Kong,1305
1961-07,Number Of Air Passenger Arrivals,North East Asia,Japan,141
1961-07,Number Of Air Passenger Arrivals,Europe,United Kingdom,1594
1961-07,Number Of Air Passenger Arrivals,Europe,France,na
1961-07,Number Of Air Passenger Arrivals,Europe,Germany,na
1961-08,Number Of Air Passenger Arrivals,South East Asia,Malaysia,na
1961-08,Number Of Air Passenger Arrivals,South East Asia,Indonesia,1857
1961-08,Number Of Air Passenger Arrivals,South East Asia,Thailand,1141
1961-08,Number Of Air Passenger Arrivals,South East Asia,Philippines,313
1961-08,Number Of Air Passenger Arrivals,South East Asia,Vietnam,na
1961-08,Number Of Air Passenger Arrivals,North East Asia,China,na
1961-08,Number Of Air Passenger Arrivals,North East Asia,Hong Kong,1225
1961-08,Number Of Air Passenger Arrivals,North East Asia,Japan,126
1961-08,Number Of Air Passenger Arrivals,Europe,United Kingdom,1099
1961-08,Number Of Air Passenger Arrivals,Europe,France,na
1961-08,Number Of Air Passenger Arrivals,Europe,Germany,na
1961-09,Number Of Air Passenger Arrivals,South East Asia,Malaysia,na
1961-09,Number Of Air Passenger Arrivals,South East Asia,Indonesia,1808
1961-09,Number Of Air Passenger Arrivals,South East Asia,Thailand,1129
1961-09,Number Of Air Passenger Arrivals,South East Asia,Philippines,221
1961-09,Number Of Air Passenger Arrivals,South East Asia,Vietnam,na
1961-09,Number Of Air Passenger Arrivals,North East Asia,China,na
1961-09,Number Of Air Passenger Arrivals,North East Asia,Hong Kong,1244
1961-09,Number Of Air Passenger Arrivals,North East Asia,Japan,193
1961-09,Number Of Air Passenger Arrivals,Europe,United Kingdom,872
1961-09,Number Of Air Passenger Arrivals,Europe,France,na
1961-09,Number Of Air Passenger Arrivals,Europe,Germany,na
1961-10,Number Of Air Passenger Arrivals,South East Asia,Malaysia,na
1961-10,Number Of Air Passenger Arrivals,South East Asia,Indonesia,1953
1961-10,Number Of Air Passenger Arrivals,South East Asia,Thailand,1632
1961-10,Number Of Air Passenger Arrivals,South East Asia,Philippines,374
1961-10,Number Of Air Passenger Arrivals,South East Asia,Vietnam,na
1961-10,Number Of Air Passenger Arrivals,North East Asia,China,na
1961-10,Number Of Air Passenger Arrivals,North East Asia,Hong Kong,1401
1961-10,Number Of Air Passenger Arrivals,North East Asia,Japan,195
1961-10,Number Of Air Passenger Arrivals,Europe,United Kingdom,691
1961-10,Number Of Air Passenger Arrivals,Europe,France,na
1961-10,Number Of Air Passenger Arrivals,Europe,Germany,na
1961-11,Number Of Air Passenger Arrivals,South East Asia,Malaysia,na
